epoch,loss,val_loss
0,0.0003053731343243271,NA
1,0.00027291307924315333,NA
2,0.00023618781415279955,NA
3,0.000237644329899922,NA
4,0.00021990945970173925,NA
5,0.0002171200030716136,NA
6,0.00021875386300962418,NA
7,0.0002203525073127821,NA
8,0.00018908157653640956,NA
9,0.0001849811087595299,NA
10,0.00017243226466234773,NA
11,0.00018430256750434637,NA
12,0.00016228061576839536,NA
13,0.00016659653920214623,NA
14,0.0001741824089549482,NA
15,0.00016536607290618122,NA
16,0.00016466487431898713,NA
17,0.00016579237126279622,NA
18,0.0001489301212131977,NA
19,0.00017756561283022165,NA
20,0.00016113175661303103,NA
21,0.00015121849719434977,NA
22,0.000152411317685619,NA
23,0.00014990010822657496,NA
24,0.00014216727868188173,NA
25,0.00013004543143324554,NA
26,0.00012570350372698158,NA
27,0.00012158359459135681,NA
28,0.00011631080997176468,NA
29,0.00011387607082724571,NA
30,0.00010966550325974822,NA
31,0.0001046164907165803,NA
32,0.00010859152098419145,NA
33,0.00011172290396643803,NA
34,0.00010991760791512206,NA
35,0.00010622453555697575,NA
36,0.000105418344901409,NA
37,9.63652491918765e-05,NA
38,9.096087160287425e-05,NA
39,8.923920540837571e-05,NA
40,8.844746480463073e-05,NA
41,8.41249420773238e-05,NA
42,7.968969293870032e-05,NA
43,7.774007826810703e-05,NA
44,7.657374953851104e-05,NA
45,7.478742190869525e-05,NA
46,7.385828939732164e-05,NA
47,7.250577618833631e-05,NA
48,7.07857107045129e-05,NA
49,6.819989357609302e-05,NA
50,6.616845348617062e-05,NA
51,6.51032169116661e-05,NA
52,6.404358282452449e-05,NA
53,6.257030327105895e-05,NA
54,6.137705349829048e-05,NA
55,6.0178685089340433e-05,NA
56,5.9580754168564454e-05,NA
57,5.845248597324826e-05,NA
58,5.7427638239460066e-05,NA
59,5.662193871103227e-05,NA
60,5.582057929132134e-05,NA
61,5.4892461776034907e-05,NA
62,5.408935612649657e-05,NA
63,5.309038169798441e-05,NA
64,5.2551302360370755e-05,NA
65,5.157287887413986e-05,NA
66,5.044371937401593e-05,NA
67,4.9565453082323074e-05,NA
68,4.9000707804225385e-05,NA
69,4.841925692744553e-05,NA
70,4.7675905079813674e-05,NA
71,4.736435948871076e-05,NA
72,4.688354238169268e-05,NA
73,4.647122841561213e-05,NA
74,4.597205770551227e-05,NA
75,4.55628614872694e-05,NA
76,4.525869371718727e-05,NA
77,4.4897678890265524e-05,NA
78,4.444817386684008e-05,NA
79,4.400880789035e-05,NA
80,4.3674208427546546e-05,NA
81,4.3389565689722076e-05,NA
82,4.323471148381941e-05,NA
83,4.2973555537173524e-05,NA
84,4.2684558138716966e-05,NA
85,4.242163777234964e-05,NA
86,4.220309710945003e-05,NA
87,4.196627196506597e-05,NA
88,4.172705303062685e-05,NA
89,4.1534105548635125e-05,NA
90,4.139443626627326e-05,NA
91,4.118766446481459e-05,NA
92,4.108930079382844e-05,NA
93,4.089056164957583e-05,NA
94,4.068178895977326e-05,NA
95,4.0525043004890904e-05,NA
96,4.039187842863612e-05,NA
97,4.0282717236550525e-05,NA
98,4.0104401705320925e-05,NA
99,3.9974820538191125e-05,NA
100,3.992137135355733e-05,NA
101,3.988414755440317e-05,NA
102,3.978364838985726e-05,NA
103,3.9779781218385324e-05,NA
104,3.9742652006680146e-05,NA
105,3.9689839468337595e-05,NA
106,3.966263830079697e-05,NA
107,3.9526974433101714e-05,NA
108,3.950553946197033e-05,NA
109,3.9453894714824855e-05,NA
110,3.941101022064686e-05,NA
111,3.93747104681097e-05,NA
112,3.934020423912443e-05,NA
113,3.92754991480615e-05,NA
114,3.919429946108721e-05,NA
115,3.914269836968742e-05,NA
116,3.905431003659032e-05,NA
117,3.899524381267838e-05,NA
118,3.8926817069295794e-05,NA
119,3.887735874741338e-05,NA
120,3.885652404278517e-05,NA
121,3.883250246872194e-05,NA
122,3.879321593558416e-05,NA
123,3.8778820453444496e-05,NA
124,3.876805931213312e-05,NA
125,3.8742018659831956e-05,NA
126,3.869665670208633e-05,NA
127,3.867184204864316e-05,NA
128,3.865192047669552e-05,NA
129,3.8612764910794795e-05,NA
130,3.855922841466963e-05,NA
131,3.854607348330319e-05,NA
132,3.850371285807341e-05,NA
133,3.845360697596334e-05,NA
134,3.843386730295606e-05,NA
135,3.837061012745835e-05,NA
136,3.8328675145749e-05,NA
137,3.829138950095512e-05,NA
138,3.826515967375599e-05,NA
139,3.822904182015918e-05,NA
140,3.821758218691684e-05,NA
141,3.8201244024094194e-05,NA
142,3.8188158214325085e-05,NA
143,3.8176502130227163e-05,NA
144,3.816618482233025e-05,NA
145,3.814704905380495e-05,NA
146,3.812515933532268e-05,NA
147,3.809973713941872e-05,NA
148,3.809428380918689e-05,NA
149,3.807962275459431e-05,NA
150,3.8066420529503375e-05,NA
151,3.803607614827342e-05,NA
152,3.8026893889764324e-05,NA
153,3.8021102227503434e-05,NA
154,3.799101250478998e-05,NA
155,3.797133103944361e-05,NA
156,3.795604789047502e-05,NA
157,3.793077848968096e-05,NA
158,3.7916961446171626e-05,NA
159,3.790252230828628e-05,NA
160,3.7884288758505136e-05,NA
161,3.787883906625211e-05,NA
162,3.7871504900977015e-05,NA
163,3.786199158639647e-05,NA
164,3.785546505241655e-05,NA
165,3.78472323063761e-05,NA
166,3.784160435316153e-05,NA
167,3.7834251997992396e-05,NA
168,3.783009378821589e-05,NA
169,3.7821031583007425e-05,NA
170,3.781519626500085e-05,NA
171,3.781020495807752e-05,NA
172,3.7797730328748e-05,NA
173,3.779181497520767e-05,NA
174,3.778513928409666e-05,NA
175,3.777616439037956e-05,NA
176,3.776558514800854e-05,NA
177,3.775323057197966e-05,NA
178,3.77442229364533e-05,NA
179,3.7742236600024626e-05,NA
